Episode,Steps,Total Reward,Epsilon,TD Error
55,4,-0.66,0.8451404054461714,0.001716125465463847
56,8,-0.99,0.8426049842298329,0.0026559913330856944
57,6,-1.05,0.8400771692771434,0.002343197151882729
58,7,-1.02,0.837556937769312,0.00319310330087319
59,16,-1.8,0.835044266956004,0.003147985355099081
60,1,-0.75,0.8325391341551359,0.003868288127705455
61,6,-0.75,0.8300415167526705,0.001934548607096076
62,5,-0.78,0.8275513922024125,0.002385982125997543
63,4,-1.11,0.8250687380258053,0.002927209236077033
64,18,-1.44,0.8225935318117279,0.0025434515797921145
65,12,-1.4700000000000002,0.8201257512162927,0.0033599778713930086
66,6,-0.75,0.8176653739626438,0.0013977640483062714
67,1,-0.75,0.8152123778407558,0.0062662954442203045
68,24,-2.460000000000001,0.8127667407072335,0.002024046710478918
69,9,-1.1099999999999999,0.8103284404851119,0.0016225870899183468
70,1,-0.75,0.8078974551636565,0.004144213628023863
71,3,-0.99,0.8054737627981655,0.0011803750142765541
72,4,-0.96,0.803057341509771,0.0015536228456767276
73,10,-0.69,0.8006481694852418,0.0019577651517465712
74,8,-1.29,0.798246224976786,0.001662081904214574
75,1,-0.75,0.7958514863018556,0.0017636189004406333
76,4,-0.96,0.79346393184295,0.0010704859523684718
77,2,-0.72,0.7910835400474212,0.0016499121556989849
78,6,-1.2,0.7887102894272789,0.001671687534932668
79,9,-1.1099999999999999,0.7863441585589971,0.0013083777157589793
80,11,-1.35,0.78398512608332,0.001471260641251733
81,3,-0.84,0.7816331707050701,0.0008198565143781403
82,6,-0.75,0.7792882711929549,0.001122653086592133
83,8,-0.8400000000000001,0.776950406379376,0.0014070372271817178
84,9,-1.11,0.7746195551602378,0.0010950019350275397
85,6,-0.9,0.7722956964947572,0.0015224925227812491
86,6,-0.6,0.7699788094052729,0.001000502420841561
87,2,-0.87,0.767668872977057,0.0006308391893981025
88,1,-0.75,0.7653658663581259,0.00022408136283047497
89,5,-0.78,0.7630697687590515,0.0007301657373318448
90,7,-0.87,0.7607805594527743,0.0007024127200046289
91,4,-0.66,0.7584982177744161,0.0008745056111365557
92,4,-0.96,0.7562227231210928,0.002345208718907088
93,2,-0.87,0.7539540549517295,0.00039360935625154525
94,8,-0.99,0.7516921927868743,0.001836049952544272
95,6,-0.75,0.7494371162085136,0.0012742570615955628
96,8,-0.8400000000000001,0.747188804859888,0.0009751053003128618
97,17,-1.26,0.7449472384453084,0.0012499728592742672
98,6,-0.75,0.7427123967299725,0.0014725267925920587
99,2,-0.72,0.7404842595397826,0.000383213184250053
100,1,-0.75,0.7382628067611632,0.0022093274164944887
101,4,-0.81,0.7360480183408797,0.0012318954832153395
102,4,-0.66,0.7338398742858571,0.002195244684116915
103,1,-0.75,0.7316383546629995,0.0008977781981229782
104,6,-1.05,0.7294434395990105,0.0022461939321753257
105,3,-0.84,0.7272551092802134,0.0008304985822178423
106,13,-1.1400000000000001,0.7250733439523728,0.0010562156105431942
107,4,-0.81,0.7228981239205157,0.0008753664878895506
108,1,-0.75,0.7207294295487541,0.00048361290828324854
109,4,-0.66,0.7185672412601078,0.0010126854831469245
110,4,-0.66,0.7164115395363275,0.0016531444271095097
111,20,-1.9800000000000002,0.7142623049177186,0.0012222373901749962
112,2,-0.87,0.7121195180029655,0.002149968669982627
113,22,-1.9800000000000002,0.7099831594489566,0.0007759512058824343
114,33,-2.460000000000001,0.7078532099706097,0.0013600997274007761
115,2,-0.72,0.7057296503406979,0.002272564568556845
116,5,-0.63,0.7036124613896758,0.0005021570628741756
117,4,-0.66,0.7015016240055068,0.0009313615446444601
118,1,-0.75,0.6993971191334902,0.00027962439344264567
119,2,-0.87,0.6972989277760897,0.0007852291746530682
120,3,-0.99,0.6952070309927615,0.0006345123013791939
121,5,-0.93,0.6931214098997832,0.00105247360188514
122,20,-1.38,0.6910420456700839,0.0007467909439583309
123,4,-0.66,0.6889689195330736,0.0008211802487494424
124,2,-0.72,0.6869020127744744,0.0006002278823871166
125,6,-0.9,0.684841306736151,0.000973301735939458
126,1,-0.75,0.6827867828159425,0.0004798040317837149
127,4,-0.81,0.6807384224674947,0.0005695278377970681
128,4,-0.66,0.6786962072000923,0.00040701794205233455
129,8,-1.1400000000000001,0.676660118578492,0.0005638058828481007
130,19,-1.71,0.6746301382227565,0.0006228181568746406
131,11,-1.35,0.6726062478080883,0.0011367248926862058
132,6,-1.05,0.6705884290646641,0.0006296900343537951
133,1,-0.75,0.66857666377747,0.0006537457229569554
134,9,-0.9600000000000001,0.6665709337861376,0.0006762641003458864
135,3,-0.84,0.6645712209847792,0.0004420909584344675
136,1,-0.75,0.6625775073218249,0.0005649883532896638
137,4,-0.96,0.6605897747998594,0.000731157764676027
138,17,-1.05,0.6586080054754598,0.0007039615773143904
139,4,-0.96,0.6566321814590335,0.0004314340949349571
140,8,-0.8400000000000001,0.6546622849146564,0.00032803469457576284
141,18,-1.1400000000000001,0.6526982980599124,0.0006308368190527997
142,11,-1.2,0.6507402031657327,0.00046183456619143146
143,3,-0.84,0.6487879825562355,0.0004657470853999257
144,6,-0.75,0.6468416186085668,0.00046956144312086206
145,9,-0.96,0.6449010937527411,0.0011699130490241158
146,2,-0.72,0.6429663904714829,0.0009756138460943475
147,8,-0.8400000000000001,0.6410374913000684,0.00033429918221372645
148,20,-1.9800000000000002,0.6391143788261682,0.0006605278176721185
149,1,-0.75,0.6371970356896897,0.0012501402525231242
150,4,-0.66,0.6352854445826206,0.00032889292560867034
151,5,-0.93,0.6333795882488727,0.0008113281277474016
152,26,-1.8,0.6314794494841262,0.0008882010789910475
153,15,-1.23,0.6295850111356738,0.0004919726149334261
154,3,-0.84,0.6276962561022668,0.0005065448155316213
155,6,-0.75,0.62581316733396,0.0004870158712340829
