Episode,Steps,Total Reward,Epsilon,TD Error
242,1,-0.75,0.4818628774939454,0.08638020604848862
243,1,-0.75,0.48041728886146357,0.08241218328475952
244,1,-0.75,0.4789760369948792,0.08311976492404938
245,1,-0.75,0.47753910888389456,0.07736606150865555
246,6,-1.05,0.4761064915572429,0.07809665674964587
247,1,-0.75,0.4746781720825711,0.07593941688537598
248,4,-0.81,0.4732541375663234,0.08292345143854618
249,1,-0.75,0.4718343751536244,0.09625501185655594
250,1,-0.75,0.47041887202816357,0.08535481989383698
251,1,-0.75,0.4690076154120791,0.07626279443502426
252,1,-0.75,0.46760059256584285,0.07287023961544037
253,2,-0.72,0.4661977907881453,0.09330292418599129
254,4,-0.81,0.4647991974157809,0.08955317735671997
255,1,-0.75,0.46340479982353355,0.08811908960342407
256,2,-0.72,0.46201458542406293,0.09017977118492126
257,1,-0.75,0.4606285416677907,0.08218290656805038
258,1,-0.75,0.45924665604278736,0.11174514889717102
259,1,-0.75,0.457868916074659,0.12421875447034836
260,1,-0.75,0.45649530932643506,0.07477127015590668
261,1,-0.75,0.45512582339845575,0.09168863296508789
262,1,-0.75,0.45376044592826037,0.08234286308288574
263,1,-0.75,0.4523991645904756,0.08298608660697937
264,1,-0.75,0.45104196709670413,0.05981125310063362
265,1,-0.75,0.449688841195414,0.07928859442472458
266,2,-0.72,0.4483397746718278,0.08932306244969368
267,1,-0.75,0.4469947553478123,0.08809863030910492
268,1,-0.75,0.44565377108176885,0.08438090980052948
269,1,-0.75,0.44431680976852356,0.07610301673412323
270,2,-0.72,0.44298385933921797,0.09313486143946648
271,1,-0.75,0.4416549077612003,0.08544481545686722
272,1,-0.75,0.4403299430379167,0.08928154408931732
273,1,-0.75,0.43900895320880295,0.08464133739471436
274,2,-0.87,0.43769192634917653,0.09113612771034241
275,1,-0.75,0.436378850570129,0.08856106549501419
276,1,-0.75,0.4350697140184186,0.1071571409702301
277,2,-0.87,0.43376450487636337,0.08277662098407745
278,2,-0.87,0.43246321136173427,0.07719574123620987
279,1,-0.75,0.43116582172764906,0.08750994503498077
280,1,-0.75,0.42987232426246613,0.0545712374150753
281,1,-0.75,0.42858270728967873,0.06563127785921097
282,1,-0.75,0.4272969591678097,0.08168775588274002
