Episode,Steps,Total Reward,Epsilon,TD Error
150,4,-0.81,0.6352854445826206,0.1269481349736452
151,1,-0.75,0.6333795882488727,0.14219258725643158
152,1,-0.75,0.6314794494841262,0.11051582545042038
153,3,-0.84,0.6295850111356738,0.13893196483453116
154,1,-0.75,0.6276962561022668,0.15695825219154358
155,1,-0.75,0.62581316733396,0.13930031657218933
156,2,-0.72,0.623935727831958,0.12637876346707344
157,1,-0.75,0.6220639206484622,0.1504332274198532
158,5,-1.08,0.6201977288865168,0.13152275681495668
159,1,-0.75,0.6183371356998573,0.12889018654823303
160,6,-1.05,0.6164821242927577,0.12666863078872362
161,2,-0.72,0.6146326779198794,0.14480727165937424
162,2,-0.72,0.6127887798861198,0.13754703849554062
163,1,-0.75,0.6109504135464614,0.15236414968967438
164,3,-0.99,0.609117562305822,0.11646345257759094
165,1,-0.75,0.6072902096189046,0.1289507895708084
166,1,-0.75,0.6054683389900478,0.11876695603132248
167,2,-0.87,0.6036519339730777,0.14269732683897018
168,1,-0.75,0.6018409781711584,0.1246635690331459
169,1,-0.75,0.6000354552366449,0.13274149596691132
170,1,-0.75,0.598235348870935,0.09988698363304138
171,2,-0.87,0.5964406428243222,0.14478255808353424
172,1,-0.75,0.5946513208958493,0.13133615255355835
173,2,-0.87,0.5928673669331617,0.12026676908135414
174,3,-0.84,0.5910887648323622,0.13075298815965652
175,2,-0.72,0.5893154985378651,0.13781709223985672
176,3,-0.84,0.5875475520422515,0.1458373765150706
177,1,-0.75,0.5857849093861247,0.1764623373746872
178,4,-0.81,0.5840275546579663,0.14026346802711487
179,1,-0.75,0.5822754719939924,0.12421011179685593
180,4,-0.81,0.5805286455780104,0.1322256289422512
181,2,-0.72,0.5787870596412764,0.14281661063432693
182,1,-0.75,0.5770506984623526,0.12907575070858002
183,1,-0.75,0.5753195463669655,0.13125649094581604
184,1,-0.75,0.5735935877278646,0.12694233655929565
185,2,-0.72,0.571872806964681,0.14699380844831467
186,1,-0.75,0.5701571885437869,0.15164349973201752
187,1,-0.75,0.5684467169781556,0.12890100479125977
188,2,-0.87,0.5667413768272211,0.14037317782640457
189,2,-0.87,0.5650411526967395,0.14098037406802177
190,1,-0.75,0.5633460292386493,0.14071062207221985
